A dinner invitation…,Gifts you’d like to receive…,Tell me about yourself…
A word of advice…,Guessing someone’s age…,Thanks for everything…
Books you’ve read recently…,Heart-racing memories…,The courtyard couple…
Cats…,Hopes for your future…,The ideal professor…
Children at the market…,I heard some gossip…,The ideal relationship…
Close calls…,I’m counting on you…,The library’s collection…
Cooking mishaps…,Likable allies…,The opera…
Cute monks…,Our first meeting…,The view from the bridge…
Dining partners…,Past laughs…,Things that bother you…
Dreamy knights…,Perfect recipes…,Things you find romantic…
1Favorite sweets…,Plans for the future…,Working together…
1First crushes…,Potential training partners…,You seem well…
1Fish and the sea…,School days…,You’re doing great work…
1Fodlan’s future…,Shareable snacks…,–
1Gardening mishaps…,Strange fish in the pond…,–
