A dinner invitation…,I heard some gossip…,Tell me about yourself…
A new gambit…,I’m counting on you…,Thanks for everything…
Books you’ve read recently…,Likable allies…,The courtyard couple…
Close calls…,Monastery rules…,The ideal relationship…
Cute monks…,Monastery security…,The melody of words…
Dining partners…,Our first meeting…,The opera…
Dreamy knights…,Past laughs…,Things that bother you…
Evaluating allies…,Plans for the future…,Things you find romantic…
Exploring the monastery…,Potential training partners…,Working hours for guards…
Fashion…,Relaxing at the sauna…,Working together…
1First crushes…,School days…,You seem different…
1Gifts you’d like to receive…,School uniforms…,You seem well…
1Heart-racing memories…,Someone you look up to…,You’re doing great work…
1Hopes for your future…,Strange fish in the pond…,–
