A dinner invitation…,Gifts you’d like to receive…,Shareable snacks…
A new gambit…,Hopes for your future…,Someone you look up to…
A place you’d like to visit…,I heard some gossip…,Tell me about yourself…
A strong battalion…,I’m counting on you…,Thanks for everything…
A word of advice…,Jeralt…,The ideal professor…
Books you’ve read recently…,Mighty weapons…,The last battle…
Capable comrades…,Monastery mysteries…,The view from the bridge…
Children at the market…,Monastery security…,Things that bother you…
Classes you might enjoy…,Our first meeting…,Working together…
Close calls…,Overcoming weaknesses…,You seem different…
1Equipment upkeep…,Past laughs…,You seem well…
1Evaluating allies…,Plans for the future…,You’re doing great work…
1Exploring the monastery…,Potential training partners…,Your ambitions…
1Fodlan’s future…,Reliable allies…,–
1Food in the dining hall…,School days…,–
