A dinner invitation…,Gardening mishaps…,Thanks for everything…
A place you’d like to visit…,Gifts you’d like to receive…,The existence of Crests…
A strong battalion…,I’m counting on you…,The ideal professor…
A word of advice…,Monastery security…,The last battle…
Being the perfect knight…,Past laughs…,The library’s collection…
Books you’ve read recently…,Perfect recipes…,Things that bother you…
Cats…,Plans for the future…,Working hours for guards…
Children at the market…,School days…,Working together…
Close calls…,Shareable snacks…,You seem well…
Dreamy knights…,Someone you look up to…,Your ambitions…
1Equipment upkeep…,Strange fish in the pond…,–
1Favorite sweets…,Tell me about yourself…,–
