A dinner invitation…,Gardening mishaps…,Strange fish in the pond…
A strong battalion…,Gifts you’d like to receive…,Tell me about yourself…
A word of advice…,I’m counting on you…,Thanks for everything…
Cats…,Muscle growth…,The last battle…
Children at the market…,Overcoming weaknesses…,The opera…
Classes you might enjoy…,Past laughs…,Things that bother you…
Close calls…,Perfect recipes…,Working together…
Cooking mishaps…,Plans for the future…,You seem well…
Dining partners…,Potential training partners…,You’re doing great work…
Dreamy knights…,School days…,Your ambitions…
1Favorite sweets…,Shareable snacks…,–
1Food in the dining hall…,Someone you look up to…,–
