A dinner invitation…,Food in the dining hall…,School uniforms…
A place you’d like to visit…,Gardening mishaps…,Shareable snacks…
A word of advice…,Ghost stories…,Tell me about yourself…
Books you’ve read recently…,Gifts you’d like to receive…,Thanks for everything…
Cats…,Heart-racing memories…,The courtyard couple…
Children at the market…,I heard some gossip…,The ideal relationship…
Cooking mishaps…,I’m counting on you…,The last battle…
Cute monks…,Likable allies…,The library’s collection…
Dining partners…,Monastery rules…,The opera…
Dreamy knights…,Overcoming weaknesses…,Things that bother you…
1Exploring the monastery…,Past laughs…,You seem different…
1Fashion…,Perfect recipes…,You’re doing great work…
1Favorite sweets…,Relaxing at the sauna…,–
1First crushes…,School days…,–
