A dinner invitation…,Food in the dining hall…,Plans for the future…
A new gambit…,Gardening mishaps…,Reliable allies…
A place you’d like to visit…,Gifts you’d like to receive…,School days…
A strong battalion…,Guessing someone’s age…,Strange fish in the pond…
A word of advice…,Hopes for your future…,Tell me about yourself…
Books you’ve read recently…,I heard some gossip…,Thanks for everything…
Capable comrades…,I’m counting on you…,The existence of Crests…
Celebrations…,Likable allies…,The ideal professor…
Children at the market…,Mighty weapons…,The last battle…
Classes you might enjoy…,Monastery mysteries…,The library’s collection…
1Close calls…,Monastery security…,Things that bother you…
1Equipment upkeep…,Our first meeting…,Working together…
1Evaluating allies…,Overcoming weaknesses…,You seem different…
1Exploring the monastery…,Past laughs…,You seem well…
1Fodlan’s future…,Perfect recipes…,Your ambitions…
