A dinner invitation…,Food in the dining hall…,Tell me about yourself…
A strong battalion…,Gifts you’d like to receive…,Thanks for everything…
A word of advice…,Guessing someone’s age…,The existence of Crests…
Capable comrades…,Heart-racing memories…,The ideal professor…
Children at the market…,Hopes for your future…,The ideal relationship…
Classes you might enjoy…,I heard some gossip…,The last battle…
Close calls…,I’m counting on you…,The meaning of nobility…
Cooking mishaps…,Likable allies…,The opera…
Cute monks…,Mighty weapons…,Things that bother you…
Dining partners…,Monastery rules…,Things you find romantic…
1Dreamy knights…,Past laughs…,Working together…
1Equipment upkeep…,Plans for the future…,You seem different…
1Evaluating allies…,Potential training partners…,You seem well…
1Exploring the monastery…,Relaxing at the sauna…,You’re doing great work…
1Fashion…,School days…,Your ambitions…
1First crushes…,School uniforms…,–
1Fodlan’s future…,Someone you look up to…,–
