A dinner invitation…,Gifts you’d like to receive…,Strange fish in the pond…
A new gambit…,Hopes for your future…,Survival skills…
A place you’d like to visit…,I heard some gossip…,Tell me about yourself…
A strong battalion…,I’m counting on you…,Thanks for everything…
Capable comrades…,Mighty weapons…,The courtyard couple…
Cats…,Monastery security…,The ideal relationship…
Children at the market…,Overcoming weaknesses…,The last battle…
Classes you might enjoy…,Past laughs…,The view from the bridge…
Close calls…,Plans for the future…,Working together…
Equipment upkeep…,Potential training partners…,You’re doing great work…
1Evaluating allies…,Reliable allies…,Your ambitions…
1Food in the dining hall…,Shareable snacks…,–
