A dinner invitation…,Gardening mishaps…,Strange fish in the pond…
A new gambit…,Hopes for your future…,Tell me about yourself…
A word of advice…,I heard some gossip…,Thanks for everything…
Books you’ve read recently…,Likable allies…,The existence of Crests…
Cats…,Monastery mysteries…,The ideal professor…
Children at the market…,Our first meeting…,The last battle…
Close calls…,Overcoming weaknesses…,The library’s collection…
Exploring the monastery…,Plans for the future…,The view from the bridge…
Fodlan’s future…,Relaxing at the sauna…,You seem different…
Forest birds…,School days…,–
