A dinner invitation…,Food in the dining hall…,Strange fish in the pond…
A new gambit…,Gifts you’d like to receive…,Tell me about yourself…
A strong battalion…,I’m counting on you…,Thanks for everything…
A word of advice…,Mighty weapons…,The existence of Crests…
Books you’ve read recently…,Monastery rules…,The ideal professor…
Cats…,Monastery security…,The last battle…
Classes you might enjoy…,Our first meeting…,The library’s collection…
Cooking mishaps…,Overcoming weaknesses…,The view from the bridge…
Dreamy knights…,Past laughs…,Things you find romantic…
Equipment upkeep…,Perfect recipes…,Working hours for guards…
1Evaluating allies…,Plans for the future…,Working together…
1Exploring the monastery…,Potential training partners…,You seem well…
1Favorite sweets…,Reliable allies…,You’re doing great work…
1First crushes…,School days…,Your ambitions…
1Fodlan’s future…,Shareable snacks…,–
1Food for life…,Someone you look up to…,–
