A dinner invitation…,Guessing someone’s age…,Shareable snacks…
A place you’d like to visit…,Heart-racing memories…,Strange fish in the pond…
Books you’ve read recently…,Hopes for your future…,Tell me about yourself…
Capable comrades…,I heard some gossip…,Thanks for everything…
Classes you might enjoy…,I’m counting on you…,The courtyard couple…
Close calls…,Likable allies…,The ideal relationship…
Cooking mishaps…,Monastery mysteries…,The library’s collection…
Cute monks…,Our first meeting…,The opera…
Dating escapades…,Overcoming weaknesses…,The view from the bridge…
Dining partners…,Past laughs…,Things that bother you…
1Evaluating allies…,Perfect recipes…,Things you find romantic…
1Exploring the monastery…,Plans for the future…,Working together…
1Fashion…,Potential training partners…,You seem different…
1Favorite sweets…,Relaxing at the sauna…,You seem well…
1First crushes…,Reliable allies…,You’re doing great work…
1Food in the dining hall…,School days…,–
1Gifts you’d like to receive…,School uniforms…,–
