A dinner invitation…,Gardening mishaps…,Someone you look up to…
A new gambit…,Hopes for your future…,Strange fish in the pond…
A place you’d like to visit…,I’m counting on you…,Tell me about yourself…
A strong battalion…,Methods for growing taller…,Thanks for everything…
A word of advice…,Mighty weapons…,The last battle…
Cats…,Our first meeting…,The view from the bridge…
Children at the market…,Overcoming weaknesses…,Things that bother you…
Classes you might enjoy…,Past laughs…,Working hours for guards…
Close calls…,Perfect recipes…,Working together…
Cooking mishaps…,Plans for the future…,You seem well…
1Dreamy knights…,Potential training partners…,You’re doing great work…
1Equipment upkeep…,Relaxing at the sauna…,Your ambitions…
1Exploring the monastery…,School days…,–
1Food in the dining hall…,Shareable snacks…,–
